YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE"
1951,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","29,000"," "," "," "
1951,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,895,000"," "," "," "
1951,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,596,000"," "," "," "
1951,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,386,000"," "," "," "
1951,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,791,000"," "," "," "
1951,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,180,000"," "," "," "
1951,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","725,000"," "," "," "
1952,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,536,000"," "," "," "
1952,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","36,000"," "," "," "
1952,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","989,000"," "," "," "
1952,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","78,000"," "," "," "
1952,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","485,000"," "," "," "
1952,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","35,000"," "," "," "
1952,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","181,000"," "," "," "
1952,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","650,000"," "," "," "
1952,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","3,225,000"," "," "," "
1952,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","39,000"," "," "," "
1952,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,034,000"," "," "," "
1952,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,633,000"," "," "," "
1952,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,782,000"," "," "," "
1952,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,819,000"," "," "," "
1952,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,115,000"," "," "," "
1952,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","703,000"," "," "," "
1953,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,322,000"," "," "," "
1953,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","35,000"," "," "," "
1953,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","781,000"," "," "," "
1953,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","76,000"," "," "," "
1953,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","422,000"," "," "," "
1953,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","36,000"," "," "," "
1953,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","169,000"," "," "," "
1953,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","611,000"," "," "," "
1953,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,947,000"," "," "," "
1953,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","43,000"," "," "," "
1953,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,377,000"," "," "," "
1953,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,712,000"," "," "," "
1953,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,213,000"," "," "," "
1953,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,453,000"," "," "," "
1953,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,969,000"," "," "," "
1953,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","605,000"," "," "," "
1954,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,417,000"," "," "," "
1954,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","37,000"," "," "," "
1954,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","862,000"," "," "," "
1954,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","151,000"," "," "," "
1954,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","498,000"," "," "," "
1954,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","39,000"," "," "," "
1954,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","173,000"," "," "," "
1954,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","599,000"," "," "," "
1954,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","3,044,000"," "," "," "
1954,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","46,000"," "," "," "
1954,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,377,000"," "," "," "
1954,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,839,000"," "," "," "
1954,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,540,000"," "," "," "
1954,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,281,000"," "," "," "
1954,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,083,000"," "," "," "
1954,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","647,000"," "," "," "
1955,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,252,000"," "," "," "
1955,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","51,000"," "," "," "
1955,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","672,000"," "," "," "
1955,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","264,000"," "," "," "
1955,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","528,000"," "," "," "
1955,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","40,000"," "," "," "
1955,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","172,000"," "," "," "
1955,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","588,000"," "," "," "
1955,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,820,000"," "," "," "
1955,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","56,000"," "," "," "
1955,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,180,000"," "," "," "
1955,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,941,000"," "," "," "
1955,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,799,000"," "," "," "
1955,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,802,000"," "," "," "
1955,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,941,000"," "," "," "
1955,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","628,000"," "," "," "
1956,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,207,000"," "," "," "
1956,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","46,000"," "," "," "
1956,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","685,000"," "," "," "
1956,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","256,000"," "," "," "
1956,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","438,000"," "," "," "
1956,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","36,000"," "," "," "
1956,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","151,000"," "," "," "
1956,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","559,000"," "," "," "
1956,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,736,000"," "," "," "
1956,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","60,000"," "," "," "
1956,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,737,000"," "," "," "
1956,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,772,000"," "," "," "
1956,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,583,000"," "," "," "
1956,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,694,000"," "," "," "
1956,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,848,000"," "," "," "
1956,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","597,000"," "," "," "
1957,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,136,000"," "," "," "
1957,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","38,000"," "," "," "
1957,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","533,000"," "," "," "
1957,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","302,000"," "," "," "
1957,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","548,000"," "," "," "
1957,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","36,000"," "," "," "
1957,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","146,000"," "," "," "
1957,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","530,000"," "," "," "
1957,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,741,000"," "," "," "
1957,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","61,000"," "," "," "
1957,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,280,000"," "," "," "
1957,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,567,000"," "," "," "
1957,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,249,000"," "," "," "
1957,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,575,000"," "," "," "
1957,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,533,000"," "," "," "
1957,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","567,000"," "," "," "
1958,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,930,000"," "," "," "
1958,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","35,000"," "," "," "
1958,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","454,000"," "," "," "
1958,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","251,000"," "," "," "
1958,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","543,000"," "," "," "
1958,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","35,000"," "," "," "
1958,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","134,000"," "," "," "
1958,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","540,000"," "," "," "
1958,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,624,000"," "," "," "
1958,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","63,000"," "," "," "
1958,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,664,000"," "," "," "
1958,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,637,000"," "," "," "
1958,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,136,000"," "," "," "
1958,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,780,000"," "," "," "
1958,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,507,000"," "," "," "
1958,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","505,000"," "," "," "
1959,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,023,000"," "," "," "
1959,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","33,000"," "," "," "
1959,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","409,000"," "," "," "
1959,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","264,000"," "," "," "
1959,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","516,000"," "," "," "
1959,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","34,000"," "," "," "
1959,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","162,000"," "," "," "
1959,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","567,000"," "," "," "
1959,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,682,000"," "," "," "
1959,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","81,000"," "," "," "
1959,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,060,000"," "," "," "
1959,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,214,000"," "," "," "
1959,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,557,000"," "," "," "
1959,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,976,000"," "," "," "
1959,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,770,000"," "," "," "
1959,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","449,000"," "," "," "
1960,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,868,000"," "," "," "
1960,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","32,000"," "," "," "
1960,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","326,000"," "," "," "
1960,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","211,000"," "," "," "
1960,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","470,000"," "," "," "
1960,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","34,000"," "," "," "
1960,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","159,000"," "," "," "
1960,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","517,000"," "," "," "
1960,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,304,000"," "," "," "
1960,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","81,000"," "," "," "
1960,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,425,000"," "," "," "
1960,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","5,393,000"," "," "," "
1960,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,658,000"," "," "," "
1960,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,016,000"," "," "," "
1960,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,643,000"," "," "," "
1960,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","395,000"," "," "," "
1961,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,476,000"," "," "," "
1961,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","32,000"," "," "," "
1961,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","254,000"," "," "," "
1961,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","165,000"," "," "," "
1961,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","400,000"," "," "," "
1961,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","33,000"," "," "," "
1961,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","126,000"," "," "," "
1961,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","481,000"," "," "," "
1961,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,048,000"," "," "," "
1961,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","80,000"," "," "," "
1961,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,454,000"," "," "," "
1961,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,201,000"," "," "," "
1961,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,348,000"," "," "," "
1961,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,431,000"," "," "," "
1961,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,205,000"," "," "," "
1961,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","312,000"," "," "," "
1962,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,269,000"," "," "," "
1962,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","33,000"," "," "," "
1962,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","226,000"," "," "," "
1962,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","157,000"," "," "," "
1962,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","412,000"," "," "," "
1962,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","35,000"," "," "," "
1962,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","131,000"," "," "," "
1962,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","433,000"," "," "," "
1962,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,911,000"," "," "," "
1962,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","80,000"," "," "," "
1962,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,623,000"," "," "," "
1962,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,327,000"," "," "," "
1962,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,151,000"," "," "," "
1962,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,545,000"," "," "," "
1962,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,205,000"," "," "," "
1962,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","271,000"," "," "," "
1963,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,282,000"," "," "," "
1963,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","31,000"," "," "," "
