YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA PLANTED in ACRES","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
1951,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"6,830,990"," "," "," "," "," "," "
1951,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,000"," "," "," "," "," "," "
1951,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","13,000"," "," "," "," "," "," "
1951,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","186,000"," "," "," "," "," "," "
1951,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","62,000"," "," "," "," "," "," "
1951,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","646,000"," "," "," "," "," "," "
1951,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,196,000"," "," "," "," "," "," "
1951,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,244,000"," "," "," "," "," "," "
1951,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,546,000"," "," "," "," "," "," "
1951,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,029,000"," "," "," "," "," "," "
1951,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","27,000"," "," "," "," "," "," "
1951,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,338,000"," "," "," "," "," "," "
1951,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,000"," "," "," "," "," "," "
1951,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,323,000"," "," "," "," "," "," "
1951,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,084,000"," "," "," "," "," "," "
1951,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,065,000"," "," "," "," "," "," "
1951,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,249,000"," "," "," "," "," "," "
1951,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","32,000"," "," "," "," "," "," "
1951,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","66,000"," "," "," "," "," "," "
1951,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","973,000"," "," "," "," "," "," "
1951,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","21,000"," "," "," "," "," "," "
1951,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","216,000"," "," "," "," "," "," "
1951,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,489,000"," "," "," "," "," "," "
1951,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","54,000"," "," "," "," "," "," "
1952,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","14,000"," "," "," "," "," "," "
1952,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","517,000"," "," "," "," "," "," "
1952,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","32,000"," "," "," "," "," "," "
1952,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,667,000"," "," "," "," "," "," "
1952,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,288,000"," "," "," "," "," "," "
1952,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,872,000"," "," "," "," "," "," "
1952,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,225,000"," "," "," "," "," "," "
1952,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","149,000"," "," "," "," "," "," "
1952,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,001,000"," "," "," "," "," "," "
1952,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"507,590"," "," "," "," "," "," "
1952,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"6,493,410"," "," "," "," "," "," "
1952,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,000"," "," "," "," "," "," "
1952,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","12,000"," "," "," "," "," "," "
1952,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","197,000"," "," "," "," "," "," "
1952,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","65,000"," "," "," "," "," "," "
1952,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","661,000"," "," "," "," "," "," "
1952,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,223,000"," "," "," "," "," "," "
1952,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,095,000"," "," "," "," "," "," "
1952,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,581,000"," "," "," "," "," "," "
1952,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","833,000"," "," "," "," "," "," "
1952,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","25,000"," "," "," "," "," "," "
1952,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,358,000"," "," "," "," "," "," "
1952,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,000"," "," "," "," "," "," "
1952,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,297,000"," "," "," "," "," "," "
1952,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,757,000"," "," "," "," "," "," "
1952,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,044,000"," "," "," "," "," "," "
1952,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,174,000"," "," "," "," "," "," "
1952,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","37,000"," "," "," "," "," "," "
1952,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","61,000"," "," "," "," "," "," "
1952,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","973,000"," "," "," "," "," "," "
1952,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","21,000"," "," "," "," "," "," "
1952,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","206,000"," "," "," "," "," "," "
1952,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,439,000"," "," "," "," "," "," "
1952,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","56,000"," "," "," "," "," "," "
1953,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","14,000"," "," "," "," "," "," "
1953,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","491,000"," "," "," "," "," "," "
1953,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","30,000"," "," "," "," "," "," "
1953,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,805,000"," "," "," "," "," "," "
1953,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,651,000"," "," "," "," "," "," "
1953,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,666,000"," "," "," "," "," "," "
1953,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,113,000"," "," "," "," "," "," "
1953,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","152,000"," "," "," "," "," "," "
1953,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,281,000"," "," "," "," "," "," "
1953,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"551,500"," "," "," "," "," "," "
1953,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"6,729,500"," "," "," "," "," "," "
1953,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,000"," "," "," "," "," "," "
1953,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","13,000"," "," "," "," "," "," "
1953,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","191,000"," "," "," "," "," "," "
1953,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","80,000"," "," "," "," "," "," "
1953,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","683,000"," "," "," "," "," "," "
1953,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,201,000"," "," "," "," "," "," "
1953,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,150,000"," "," "," "," "," "," "
1953,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,545,000"," "," "," "," "," "," "
1953,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","508,000"," "," "," "," "," "," "
1953,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","23,000"," "," "," "," "," "," "
1953,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,358,000"," "," "," "," "," "," "
1953,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,000"," "," "," "," "," "," "
1953,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,206,000"," "," "," "," "," "," "
1953,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,982,000"," "," "," "," "," "," "
1953,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,819,000"," "," "," "," "," "," "
1953,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,942,000"," "," "," "," "," "," "
1953,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","40,000"," "," "," "," "," "," "
1953,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","62,000"," "," "," "," "," "," "
1953,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","944,000"," "," "," "," "," "," "
1953,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","23,000"," "," "," "," "," "," "
1953,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","196,000"," "," "," "," "," "," "
1953,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,563,000"," "," "," "," "," "," "
1953,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","60,000"," "," "," "," "," "," "
1954,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","12,000"," "," "," "," "," "," "
1954,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","512,000"," "," "," "," "," "," "
1954,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","30,000"," "," "," "," "," "," "
1954,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,935,000"," "," "," "," "," "," "
1954,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,522,000"," "," "," "," "," "," "
1954,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,766,000"," "," "," "," "," "," "
1954,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,565,000"," "," "," "," "," "," "
1954,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","178,000"," "," "," "," "," "," "
1954,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","6,922,000"," "," "," "," "," "," "
1954,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"657,000"," "," "," "," "," "," "
1954,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"6,265,000"," "," "," "," "," "," "
1954,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,000"," "," "," "," "," "," "
1954,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","12,000"," "," "," "," "," "," "
1954,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","201,000"," "," "," "," "," "," "
1954,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","80,000"," "," "," "," "," "," "
1954,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","735,000"," "," "," "," "," "," "
1954,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,194,000"," "," "," "," "," "," "
1954,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,276,000"," "," "," "," "," "," "
1954,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,715,000"," "," "," "," "," "," "
1954,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","348,000"," "," "," "," "," "," "
1954,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","29,000"," "," "," "," "," "," "
1954,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,344,000"," "," "," "," "," "," "
1954,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,000"," "," "," "," "," "," "
1954,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,154,000"," "," "," "," "," "," "
1954,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,101,000"," "," "," "," "," "," "
1954,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,928,000"," "," "," "," "," "," "
1954,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,967,000"," "," "," "," "," "," "
1954,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","39,000"," "," "," "," "," "," "
1954,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","62,000"," "," "," "," "," "," "
1954,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","920,000"," "," "," "," "," "," "
1954,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","38,000"," "," "," "," "," "," "
1954,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","202,000"," "," "," "," "," "," "
1954,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,691,000"," "," "," "," "," "," "
1954,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","64,000"," "," "," "," "," "," "
1955,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","12,000"," "," "," "," "," "," "
1955,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","523,000"," "," "," "," "," "," "
1955,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","29,000"," "," "," "," "," "," "
1955,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,993,000"," "," "," "," "," "," "
1955,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,850,000"," "," "," "," "," "," "
1955,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,625,000"," "," "," "," "," "," "
1955,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,108,000"," "," "," "," "," "," "
1955,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","190,000"," "," "," "," "," "," "
1955,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","6,714,000"," "," "," "," "," "," "
1955,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"835,000"," "," "," "," "," "," "
1955,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"5,879,000"," "," "," "," "," "," "
1955,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,000"," "," "," "," "," "," "
1955,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","11,000"," "," "," "," "," "," "
1955,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","198,000"," "," "," "," "," "," "
1955,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","60,000"," "," "," "," "," "," "
1955,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","729,000"," "," "," "," "," "," "
1955,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,161,000"," "," "," "," "," "," "
1955,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,391,000"," "," "," "," "," "," "
1955,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,715,000"," "," "," "," "," "," "
1955,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","349,000"," "," "," "," "," "," "
1955,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","40,000"," "," "," "," "," "," "
1955,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,331,000"," "," "," "," "," "," "
1955,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","6,000"," "," "," "," "," "," "
1955,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,055,000"," "," "," "," "," "," "
1955,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,224,000"," "," "," "," "," "," "
1955,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,754,000"," "," "," "," "," "," "
1955,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,083,000"," "," "," "," "," "," "
1955,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","41,000"," "," "," "," "," "," "
1955,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","61,000"," "," "," "," "," "," "
1955,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","879,000"," "," "," "," "," "," "
1955,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","39,000"," "," "," "," "," "," "
1955,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","176,000"," "," "," "," "," "," "
1955,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,772,000"," "," "," "," "," "," "
1955,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","76,000"," "," "," "," "," "," "
1956,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","11,000"," "," "," "," "," "," "
1956,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","471,000"," "," "," "," "," "," "
1956,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","26,000"," "," "," "," "," "," "
1956,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,977,000"," "," "," "," "," "," "
1956,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,792,000"," "," "," "," "," "," "
1956,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,576,000"," "," "," "," "," "," "
